
"BookName","AuthorName","Price"
"Capsule Studies on Direct Tax Laws (A.Y. 2017-18), 2nd ed.","By: CA Durgesh Singh","?755 "
"The Boy Who Loved","By: Durjoy Datta","?179 "
"Hands-On Ethical Hacking and Network Defense","By: Michael T. Simpson, Kent Backman & James E. Corley","?652 "
"Sita - Warrior of Mithila (Book 2 - Ram Chandra Series)","By: Amish","?333 "
"Tally.Erp 9 Training Guide","By: Asok K.Nadhani","?143 "
"Interviews The Last: Basic Tips On facing Civil Services Personality Test","By: Unique","?171 "
"Manto Ke Behtareen Afsane","By: Saadat Ali Hasan Manto","?185 "
"AWS Certified Solutions Architect Official Study Guide","By: Joe Baron, Hisham Baz, Tim Bixler, Biff Gaut, Kevin E. Kelly, Sean Senior & John Stamper","?899 "
"Watercolour Landscapes Step By Step","By: Milind Mulick","?314 "
"Cbs Mch Burns & Plastic Surgery Entrance Examination ,2E (Pb-2014)","By: Bhatia M.S.","?280 "
"Business Studies (Class XII)","By: Manisha Singh","?338 "
"Tibetan Yoga and Secret Doctrines: Or Seven Books of Wisdom of the Great Path","By: W.Y. Evans-Wentz and Kazi Dawa-Sandup","?257 "
"Diabetes Is Not Incurable","By: Nagendra Kumar Neeraj","?333 "
"Shiv Sutra (Hindi)","By: Osho","?285 "
"Learn MVC Project in 7 Days","By: Sukesh Marla","?282 "
"MCQs In Radiology for Residents and Technologists, 2nd ed.","By: Sumeet Bhargava & S.K. Bhargava, S.K. Bhargava","?280 "
"From Volga to Ganga","By: Victor Kierman","?261 "
"Learn to Play Harmonium","By: Ram Avtar","?238 "
"Indian Snakes: A Field Guide","By: Neelimkumar Khaire","?238 "
"A Message from Arunachala","By: Paul Brunton","?190 "
"Jaivik Kheti","By: Amit Kumar Singh","?185 "
"How to Win Friends and Influence People","By: Carnegie Dale","?138 "
"How to Win Friends and Influence People ","By: Dale Carnegie","?119 "
"Rahasyamaya Siddhabhumi Tatha Suryavigyan","By: Gopinath Kaviraj","?166 "

20 rows have been extracted. Trial version supports extracting only 20 rows. Purchased version of Automation Anywhere Enterprise Client does not have this limitation.
"BookName","AuthorName","Price"
"Capsule Studies on Direct Tax Laws (A.Y. 2017-18), 2nd ed.","By: CA Durgesh Singh","?755 "
"The Boy Who Loved","By: Durjoy Datta","?179 "
"Hands-On Ethical Hacking and Network Defense","By: Michael T. Simpson, Kent Backman & James E. Corley","?652 "
"Sita - Warrior of Mithila (Book 2 - Ram Chandra Series)","By: Amish","?333 "
"Tally.Erp 9 Training Guide","By: Asok K.Nadhani","?143 "
"Interviews The Last: Basic Tips On facing Civil Services Personality Test","By: Unique","?171 "
"Manto Ke Behtareen Afsane","By: Saadat Ali Hasan Manto","?185 "
"AWS Certified Solutions Architect Official Study Guide","By: Joe Baron, Hisham Baz, Tim Bixler, Biff Gaut, Kevin E. Kelly, Sean Senior & John Stamper","?899 "
"Watercolour Landscapes Step By Step","By: Milind Mulick","?314 "
"Cbs Mch Burns & Plastic Surgery Entrance Examination ,2E (Pb-2014)","By: Bhatia M.S.","?280 "
"Business Studies (Class XII)","By: Manisha Singh","?338 "
"Tibetan Yoga and Secret Doctrines: Or Seven Books of Wisdom of the Great Path","By: W.Y. Evans-Wentz and Kazi Dawa-Sandup","?257 "
